hash,date,year_month,files,insertions,deletions,churn,entropy,num_authors,msg_len
957f48a,2019-05-18,2019-05,2,27,12,38,3.3258,1,95
d0bfb06,2019-05-18,2019-05,0,27,12,0,0.0,1,109
8590d65,2019-05-06,2019-05,5,18,131,149,9.6866,1,148
5a49b96,2019-05-18,2019-05,0,18,131,0,0.0,1,125
e0afff0,2019-05-06,2019-05,2,4,17,21,2.6385,1,103
7f98a28,2019-05-18,2019-05,0,4,17,0,0.0,1,82
2039e2e,2019-05-06,2019-05,4,15,2,17,6.2385,1,40
dbd3840,2019-05-18,2019-05,0,15,2,0,0.0,1,98
6af14f0,2019-05-13,2019-05,3,26,5,31,5.9052,1,32
b0185a6,2019-05-18,2019-05,0,26,5,0,0.0,1,110
2a2a11b,2019-01-08,2019-01,2,9,1,10,2.4975,1,31
05102f6,2019-05-18,2019-05,0,9,1,0,0.0,1,107
e1cc16f,2018-09-29,2018-09,3,14,8,22,4.496,1,125
d9fa28b,2019-05-19,2019-05,0,14,8,0,0.0,1,139
db8cb31,2018-10-11,2018-10,3,19,3,22,5.8477,1,62
d3e1fed,2019-05-19,2019-05,0,19,3,0,0.0,1,147
fcf2eb4,2019-05-19,2019-05,2,10,9,19,2.0981,1,41
3337915,2019-05-23,2019-05,2,7,5,12,1.5313,1,269
fe41c6c,2019-05-23,2019-05,0,7,5,0,0.0,1,122
4fe81d7,2019-05-23,2019-05,0,10,9,0,0.0,1,110
2308cba,2018-08-31,2018-08,3,23,2,25,6.6073,1,55
e18cc4d,2019-05-24,2019-05,3,47,23,70,8.2139,1,143
2616d97,2019-05-24,2019-05,0,47,2,0,0.0,1,126
7bf8366,2019-03-03,2019-03,4,37,16,53,9.0634,1,396
1ecc341,2019-05-24,2019-05,1,34,1,35,0.0,1,35
855d59b,2019-05-24,2019-05,0,70,16,0,0.0,1,86
ec1ccd7,2018-05-14,2018-05,6,136,8,144,15.027,1,123
b837606,2019-05-24,2019-05,0,136,8,0,0.0,1,89
a12bf29,2019-03-18,2019-03,2,16,1,17,2.8034,1,250
ed9ab2d,2019-05-25,2019-05,5,21,19,40,9.1488,1,45
754b729,2019-05-25,2019-05,0,34,17,0,0.0,1,112
a71c167,2019-04-16,2019-04,3,29,6,35,6.8952,1,67
2c68f86,2019-05-25,2019-05,0,29,6,0,0.0,1,94
a5ff3cd,2019-05-31,2019-05,4,19,14,33,6.5301,1,38
240e398,2019-05-31,2019-05,0,19,14,0,0.0,1,89
96b92ff,2019-05-31,2019-05,1,3,0,3,0.0,1,44
1250775,2019-05-31,2019-05,0,3,0,0,0.0,1,116
7ac2cbf,2019-05-31,2019-05,1,4,0,4,0.0,1,48
af1b2ea,2019-05-31,2019-05,0,4,0,0,0.0,1,101
6ac4b93,2019-05-31,2019-05,1,4,0,4,0.0,1,49
