month,entropy,commit_count,avg_insertions,avg_deletions,month_str,is_release,repo,entropy_lag1,entropy_lag2,entropy_delta,commit_delta,churn_ratio,entropy_rolling3
2022-11,6.3270025380328425,227.0,58.370044052863435,25.506607929515418,2022-11,1,numpy,6.408758068330986,6.6223498221991335,-0.08175553029814342,53.0,0.695903361336241,6.452703476187654
2022-12,7.259684728187126,225.0,51.70666666666666,23.23111111111111,2022-12,1,numpy,6.3270025380328425,6.408758068330986,0.9326821901542832,-2.0,0.6899946622290939,6.665148444850318
2023-01,5.5384951795983595,291.0,111.52577319587628,78.03092783505154,2023-01,0,numpy,7.259684728187126,6.3270025380328425,-1.7211895485887663,66.0,0.5883504649993436,6.375060815272776
2023-02,6.793801958973054,266.0,63.067669172932334,44.78195488721804,2023-02,0,numpy,5.5384951795983595,7.259684728187126,1.2553067793746946,-25.0,0.5847741215785154,6.530660622252846
2023-03,6.783181403274822,252.0,25.142857142857142,23.515873015873016,2023-03,0,numpy,6.793801958973054,5.5384951795983595,-0.010620555698231726,-14.0,0.5167183167403187,6.371826180615412
2023-04,7.024650728393826,255.0,50.22352941176471,27.16078431372549,2023-04,1,numpy,6.783181403274822,6.793801958973054,0.2414693251190041,3.0,0.6490143414500836,6.867211363547234
2023-05,3.035861027460213,246.0,1197.7113821138212,389.3780487804878,2023-05,1,numpy,7.024650728393826,6.783181403274822,-3.9887897009336135,-9.0,0.7546590373537856,5.614564386376287
2023-06,6.227674500803545,312.0,139.76602564102564,133.46794871794873,2023-06,1,numpy,3.035861027460213,7.024650728393826,3.191813473343332,66.0,0.5115250618756866,5.429395418885861
2023-07,6.5084797047058816,349.0,88.15186246418338,64.29799426934098,2023-07,1,numpy,6.227674500803545,3.035861027460213,0.28080520390233676,37.0,0.5782351282736246,5.25733841098988
2023-08,6.089152893040035,315.0,204.8825396825397,160.83174603174604,2023-08,1,numpy,6.5084797047058816,6.227674500803545,-0.4193268116658464,-34.0,0.5602256944429126,6.275102366183154
